title,company,location,description,data_science_job
Consultant (w/m/d) Risikomanagement und -methoden,Risk Research GmbH,Regensburg,"WIR FREUEN UNS AUF IHRE BEWERBUNG ALS.Für unsere Standorte in Regensburg oder Frankfurt am Main.Internationale Großbanken, mittelständische Kreditinstitute,…",0.0
Consultant / Business Architect (f/m/d),Allianz Digital Health GmbH,München,"We offer digital health services based on advanced data analytics and a modern IT architecture.At Allianz Digital Health (ADH), our mission is to radically…",1.0
"Consultant Advanced Analytics, Data Science (m/w/d) / New Data Solutions",msg systems,Berlin,"Sie denken smart, begeistern sich für modernste Technologien und sind erst zufrieden, wenn alle Prozesse und Systeme einwandfrei funktionieren?",1.0
Consultant Business Intelligence (m/w/d),TIQ Solutions GmbH,Dresden,"Du möchtest Dein erworbenes Wissen, eigene Ideen und Deine Kreativität in spannende IT-Projekte einbringen und in einem Umfeld arbeiten, dass Dich inspiriert?",1.0
Consultant Business Intelligence (m/w/d),TIQ Solutions GmbH,Leipzig,"Du unterstützt bei der Realisierung von IT-Projekten aus dem Umfeld von Industrie 4.0, Mobility und Connectivity bei führenden Kunden aus den Bereichen…",1.0
Consultant Data Analytics & Forensics (m/w/d),Magellan Netzwerke GmbH,Köln,"Wir, die FERNAO Networks mit Sitz in Köln, sind führender Full-Service Provider auf dem Gebiet der IT-Security.Spannende Aufgaben warten auf dich:",0.0
Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien.",1.0
Consultant Data Engineering (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien.",1.0
Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien.",1.0
Consultant Data Science (m/w/d),STATWORX,Frankfurt am Main,"Über STATWORXSTATWORX ist ein Beratungsunternehmen für Data Science, Machine Learning und AI mit Sitz in Frankfurt am Main, Zürich und Wien.",1.0
Consultant Digitalisierung (mwd),Vesterling AG,Aachen,Beratung von Kunden bei der Digitalisierung und Entwicklung von Data Governance Frameworks.Vertragsart: Unbefristete Festanstellung durch unseren Klienten.,0.0
Consultants Roster — Experts for Data Sciences on the Resource Nexus,United Nations University,Dresden,"UNU-FLORES is seeking experienced, expert data scientists to collaborate with the institute and contribute effectively to the development and implementation of…",1.0
Content Marketing Manager (f/m/d),Planetly,Berlin,"Experience in climate science is a plus.As we see ourselves as 'for-purpose - for-profit', we're committed to employing all entrepreneurial abilities to solve…",0.0
Content Marketing Manager [m/w/d],StackFuel GmbH,Berlin-Kreuzberg,In den letzten drei Jahren hat sich StackFuel zu einem der führenden deutschen Anbieter für berufsbegleitende Online-Trainings im Bereich Data Analytics und…,0.0
Contract Migration Expert (f/m/d) Revenue Recognition,Siemens AG,Erlangen,We care about your data privacy and take compliance with GDPR as well as other data protection legislation seriously.Change is a constant aspect of our work.,0.0
Conversational AI/ML - Intern,FixFirst,Home Office,"Computer science or similar studies in senior Bachelor or early Master semester.Research, test and develop conversational interfaces as well as ML/AI & data…",1.0
Corporate Controller m/w/d,PHOENIX CONTACT Electronics GmbH,Bad Pyrmont,Zur Verstärkung unseres Teams im Werkscontrolling suchen wir einen kommunikationsstarken Controller m/w/d.Zusätzlich unterstützen Sie bei der Durchführung und…,0.0
Corporate Digital Audit Manager (f/m/x),ZEISS Group,Oberkochen,"A university degree in natural sciences, computer science, mathematics, or similar.Ideally at least 2 years of professional experience in e.g. data analytics,…",1.0
Creative Direction & Conception [m/w/d] | Expert:in für digitale Konzepte & Brand Building,WAYS GmbH,Dortmund,"Du hast das Multitalent, das alle wollen.Wenn wir dich auf eine Marke loslassen, kommst du mit der Brand zurück, von der andere nicht mal zu träumen wagen.",0.0
Creative Marketer (intern/working student) (m/w/x),Process& GmbH,München,You will work independently with our data science and sales team to generate significant sales growth for Process&.... are out-going and hands-on.,0.0
Credit Analyst Structured Finance (m/f/d),Creditreform Rating AG,Neuss,You have a strong academic background with a BSc / Master’s Degree (or equivalent) in an economic or natural science subject.,1.0
Customer Experience (CX) Strategist (m/f/d),MSD,Haar,"Refining deep insight from complex data into articulated customer needs, motivations and behaviors.Education: Master Degree required, preferably in Information…",0.0
Customer Operations Manager (m/f/d) Cell & Gene Therapy,Novartis,Nürnberg,"Where you’re given opportunities to explore the power of digital and data.105,000 unique individuals work at Novartis, all with different needs and aspirations…",0.0
Customer Service Technical Support (m/f/d),e-bot7 GmbH,München,Bachelor’s Degree and/or certification in computer science or other technical field.With our expert team of application developers and data scientists we work…,0.0
Customer Success Manager (m/w/d) eHealth Startup,Lindera Gmbh,Hannover,"Linderas Vision ist es, weltweite Standards in Mobility Assessment und Mobility Decision Intelligence zu setzen.Und hier kommst du ins Spiel...",0.0
Customer Success Manager - Germany (m/f/x),KONUX,München,We strive to help industrial companies improve their maintenance and performance decision making in a data-driven world.Don´t Apply If.,0.0
Customer Success Manager - Global (m/f/x),KONUX,München,We strive to help industrial companies improve their maintenance and performance decision making in a data-driven world.Don´t Apply If.,0.0
Customer Success Specialist,Catapult Sports,Berlin,"Ability to analyse, and interpret data.Proficient in statistical analysis of large data sets.Aid in the data analysis of our elite teams where required.",1.0
Cyber Hunt Threat Analyst,ECS Federal LLC,Stuttgart,"Use Network and Host Based data to drive detection, monitoring, and response capabilities.The Cyber Hunt and Threat Analysis team is seeking a motivated…",0.0
Cyber Security Architect (f/m/d) - (SAP) Business Applications,SAP,Walldorf,"Additionally, it is acting as the trusted partner & advisor for IT and data security matters and is handling Security Incidents.WHAT YOU GET FROM US.",0.0
Cybersecurity Auditor (m/w/d) - Gigafactory Berlin - Brandenburg,Tesla,Grünheide (Mark),"The Cybersecurity Auditor will assess and strengthen Tesla’s security posture in the following areas: vehicle firmware and hardware, data privacy and…",0.0
DATA SCIENTIST* – ARTIFICIAL INTELLIGENCE (AI),Fraunhofer-Gesellschaft,Kassel,"Das Fraunhofer IEE in Kassel forscht in den Bereichen Energiewirtschaft und Energiesystemtechnik mit den Schwerpunkten: Energieinformatik, Energiemeteorologie…",1.0
DATENANALYST (W/M/D),Valyue Consulting GmbH,Stuttgart,Valyue ist der Partner für hochwertige Dienstleistungen und auf die Entwicklung individueller Soft- und Hardwarelösungen für technische Systeme spezialisiert.,1.0
DHBW-Student Informatik (m/w/d),Thales Group,Stuttgart,Gemeinsam gestalten wir die Welt um uns herum und entwickeln so die Zukunft – hier und heute!Leidenschaft für Innovationen und bahnbrechende Technologien ist…,0.0
DM.176.20 Wissenschaftliche*r Mitarbeiter*in / Doktorand*in / Medizininformatik,Charité,Berlin,Die Charité – Universitätsmedizin Berlin ist eine gemeinsame Einrichtung der Freien Universität Berlin und der Humboldt-Universität zu Berlin.,0.0
DM.178.20b Scientific Research Assistant (f/m/d),Charité,Berlin,"Solid basic experience in scientific data handling, documentation and management is of advantage.Die Charité – Universitätsmedizin Berlin ist eine gemeinsame…",0.0
DWH/BI Cognos Developer (m/w/d),"Fiserv, Inc.",Nürnberg,Identify and resolve data ETL/reporting issues in a timely fashion.Design/Development of DWH/BI/Analytics/Reporting solutions.,1.0
Data & Analytics Team Lead (m/f/d),Sonova Marketing GmbH,Berlin,"Support defining a Data & Analytics strategy on to create a data-driven decision making culture.Challenging, re-fining and re-building current Data…",1.0
Data & Process Specialist in Planning and Controlling (m/f/d),Allianz Partners,München,"Passion for data and analytics, translating data-driven insights into decisions and actions.Review and document the global finance data model / architecture…",1.0
Data & Reporting Manager (m/f/d),Orizon GmbH,Ulm,Responsibility to ensure timely availability of management reporting / data set in high data quality and integrity for selected topics by using advanced state…,0.0
"Data / Machine Learning Engineer (m/w/d, Vollzeit)",Geospin GmbH,Freiburg,"Für den Ausbau unseres IT-Teams am Standort Freiburg suchen wir ab sofort einen.Data / Machine Learning Engineer (m/w/d, Vollzeit).",1.0
Data Analyst (f/m/d),Zalando,Berlin,Consult our business teams on their data and reporting needs.Support business stakeholders in a fast-paced innovative environment with accurate and insightful…,1.0
Data Analyst (m/f/d),Berlin Brands Group,Berlin-Mitte,You are responsible for the continuous validation of data in our data warehouse.You will actively support the expansion of a data driven and KPI oriented…,1.0
Data Analyst (m/f/x),Audible GmbH,Berlin,Communicate data heavy analysis in a digestible manner to business stakeholder teams.Illustrate key business trends and drivers through effective data…,1.0
Data Analyst (m/w/d),Viessmann,Berlin,"Als Data Analyst (m/w/d) bereitest du die Customer Journey analytisch auf, integrierst weitere Datenquellen, definierst KPIs und stellst länderübergreifend eine…",1.0
Data Analyst (m/w/d),Studitemps GmbH,Dormagen,Für einen unserer Partner suchen wir einen engagierten und erfahrenen Data Analyst (m/w/d).Unser Partner steht für ein intelligentes Forderungsmanagement und…,1.0
Data Analyst - Analytics Enablement (m/f/d),FREE NOW,Hamburg,Identify data requirements of the business and translate into functional requirements for data engineers and help improve data platform performance.,1.0
Data Analyst - Business,Trade Republic Bank GmbH,Berlin-Kreuzberg,Collaborate with the data science team closely on advanced analytics projects.Specify improvements to the data warehouse and general data infrastructure for…,1.0
Data Analyst - Business (m/f/x),Trade Republic Bank GmbH,Berlin-Kreuzberg,Collaborate with the data science team closely on advanced analytics projects.Specify improvements to the data warehouse and general data infrastructure for…,1.0
Data Analyst - Logistics Squad,SumUp,Berlin,"Support data-driven discussions within your team and across business areas, increase our data to produce insights and contribute to reaching and out-beating…",1.0
Data Analyst - Marketplace,trivago,Düsseldorf,Get an inside look at data science at trivago:Experience developing dashboards and producing data visualizations.Trivago is a global hotel search platform.,1.0
"Data Analyst - Stuttgart, Germany",Occam Solutions,Stuttgart,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data.",1.0
Data Analyst / Digital Analyst E-Commerce (m/w/d),Snipes SE,Köln,Steuerung und Weiterentwickelung der Web-Analyse-Tools sowie Erstellung der Anforderung sowie Spezifikation und Weiterentwicklung des Tagging-Konzepts in…,1.0
Data Analyst Hotels & Resorts (m/w/d),TUI,Hannover,Für Dich ist data driven nicht nur ein Buzzwort?Für die TUI InfoTec GmbH in Hannover suchen wir zum nächstmöglichen Eintrittstermin einen: Data Analyst Hotels …,1.0
Data Analyst Intern (m/f/d),Taxfix,Berlin,"Provide product teams with access to data by creating dashboards.Alongside our Head of Data Analytics and Senior Data Analysts, you will work closely with…",1.0
Data Analyst Team Lead (m/f/d),Taxfix,Berlin,To take Taxfix data-driven culture and self-service data solutions to the next level we are looking for a Data Analyst Team lead.What's in it for you?,1.0
Data Analyst Team Lead (m/f/d),Taxfix,Berlin,To take Taxfix data-driven culture and self-service data solutions to the next level we are looking for a Data Analyst Team lead.What's in it for you?,1.0
Data Analytics (Student Assistant/Werkstudent) (m/f/div),FLOCERT,Bonn,Strong affinity for statistics and data science.Exploring the data through basic data analysis (such as correlation and.FLOCERT is currently looking for a.,1.0
Data Analytics Engineer (all genders),Merck KGaA,Darmstadt,"Develop high quality data analyses, analytical models and algorithms supporting our data analytics use cases and solving critical business problems.",1.0
Data Applications Architect (m/f/d),FSC International,Bonn,"To develop, manage and upgrade the Database management systems used to capture, store and analyze data.To develop user-interfaces (including web-interface) for…",1.0
Data Architect (gn),crowdconsultants,Frankfurt am Main,"Optimization of the data science infrastructure.Responsibility for data architecture, data quality, master data management and data lifecycle management.",1.0
Data Architect (m/f/d),PaulCamper GmbH,Berlin,You have 5+ years of professional data or backend engineering experience in building reliable and scalable data platforms.Then send us your application.,1.0
Data Architect (m/f/d),BASF Services Europe GmbH,Berlin-Friedrichshain,"You will build and manage a growth analytics team including following capabilities: data science, data engineering, devOps, IT change management.",1.0
Data Architect (m/w/d),BASF Services Europe GmbH,Berlin,"Erfolgreiche Landwirtschaft braucht die richtige Balance.Eine Balance, die entscheidend ist - auch für den Bereich Agricultural Solutions.",1.0
Data Center Technician (m/f/d),AVANTGARDE Experts,München,"AVANTGARDE Experts places Software Engineering Experts (m/f/d) all over Germany in the fields of web development, mobile, data science, AI and a lot more…",0.0
Data Engineer,Unilode,Frankfurt am Main,"3 – 5 years of working experience with data integration, application integration, business processes and data science tools and with an academic degree in data…",1.0
Data Engineer,AutoScout24,München,Being one of the contributors to our data lake and data platform.Help us shape and steer data drivenness within AutoScout24 by utilizing the transformative…,1.0
Data Engineer,Trade Republic Bank GmbH,Berlin-Kreuzberg,Provide input on data models and analytical tasks from a data handling perspective.Be responsible for connecting data to the data warehouse from different…,1.0
Data Engineer (Berlin),KNIME,Berlin,We are transforming the data science landscape by developing - together with our community - the open source KNIME Analytics Platform that lets data scientists…,1.0
Data Engineer (Metrics),"TMP Worldwide Advertising & Communications, LLC",Berlin,Ingest and aggregate data from both internal and external data sources to build our world class datasets.TMP Data Engineering works on data services across…,1.0
Data Engineer (m/f/d),Amadeus FiRe,Hamburg,Development of integrated data layers for data-driven analyses and reports.Degree in computer science or a comparable qualification.Data Engineer (m/f/d).,1.0
Data Engineer (m/f/d),TUI,Hannover,"The ability to design, implement and use effective database structures to ensure data is organised effectively and ready for downstream development of data…",1.0
Data Engineer (m/f/x),commercetools,Berlin,Help us to build an in-house data warehouse from scratch that will enable data analysis and data-driven decisions for the whole organization.,1.0
Data Engineer (m/f/x),Trade Republic Bank GmbH,Berlin-Kreuzberg,Provide input on data models and analytical tasks from a data handling perspective.Be responsible for connecting data to the data warehouse from different…,1.0
Data Engineer (m/w/d),Dürr AG,Montabaur,Eigenverantwortliche Konzeption und Umsetzung von Analytics Infrastrukturen für unsere Kunden.Unterstützung interner und externer Data Science Ressourcen beim…,1.0
Data Engineer (m/w/d),Modis GmbH,Stuttgart,"Technische Herausforderungen und die Bearbeitung von großen Datenmengen begeistern Dich?Zudem hast Du Spaß am Umgang mit Zahlen, Daten und verschiedenen…",1.0
Data Engineer (m/w/d),BRUNO BADER GmbH + Co. KG,Pforzheim,Wir suchen für unser IT-Team in Pforzheim einen:Data Engineer (m/w/d).Hierbei werden Sie Teil eines personell expandierenden Fachgebiets mit steigender…,1.0
Data Engineer (m/w/d) Machine Learning,REHSEARCH - eine Sparte der Rehbach Gruppe GmbH,Wuppertal,Data Engineer (m/w/d) Machine Learning.Zur Direktvermittlung in Festanstellung suchen wir zum nächstmöglichen Zeitpunkt einen Data Engineer (m/w/d) Machine…,1.0
Data Engineer (m/w/d) für Elektronenstrahl- und Lasertechnologie sowie Additive Fertigung,Pro Beam,Gilching,Die pro-beam Gruppe ist mit fünf Standorten weltweit ein führendes Unternehmen im Bereich der Elektronenstrahl- und Lasertechnologie.,1.0
Data Engineer (m/w/d) in Stuttgart gesucht.,DEKRA SE,Stuttgart,"Definition analytischer Use Cases (Descriptive, Predictive & Prescriptive Analytics) und Übersetzung dieser in Data Solutions.",1.0
Data Engineer (m/w/x),infoteam Software AG,Erlangen,"Data Engineer (m/w/x).Wir bei infoteam realisieren seit fast 40 Jahren spezifische Softwarelösungen für unsere Kunden aus den Märkten Industry, Infrastructure,…",1.0
Data Engineer (m|f|d),Sartorius Stedim Biotech,Göttingen,You create and maintain data models to make information available in a user-friendly fashion for use in data analytics.,1.0
Data Engineer (w/m/d),Westphalia DataLab GmbH,Münster,Werden Sie Teil unseres hochmotivierten Teams und Teil unseres rasant wachsenden Startups!Nutze die einmalige Chance aktiv an der Gestaltung und Entwicklung…,1.0
Data Engineer / Machine Learning Engineer*,inovex,Hamburg,"Unsere Projekte drehen sich nicht nur um die Auswertung großer Datenmengen - an erster Stelle steht der Anspruch, mit skalierbaren Architekturen stabile…",1.0
Data Engineer / Scientist (m/f/div),Bosch Group,Leinfelden-Echterdingen,"Enable data-driven decision-making: You take care of data models, data quality, standardization and documentation to build up a business framework for data &…",1.0
Data Engineer BI (m/w/d),Harvey Nash GmbH,Berlin,"Für unseren Kunden, eine erfolgreiche Tochtergesellschaft einer der größten privaten Krankenhausbetreiber Deutschlands mit mehr als 14.000 IT-Arbeitsplätzen,…",1.0
Data Engineer Hotels & Resorts (m/f/d),TUI,Hannover,"Develop the data warehouse in terms of architecture, data model and integration processes.Cooperate in an interdisciplinary team with data scientists and data…",1.0
Data Engineer Hotels & Resorts (m/w/d),TUI,Hannover,Für Dich ist data driven nicht nur ein Buzzwort?Für die TUI InfoTec GmbH in Hannover suchen wir zum nächstmöglichen Eintrittstermin einen: Data Engineer Hotels…,1.0
Data Engineer IoT (m/w/d),Expleo Germany GmbH,München,Wachsen Sie an technischen Herausforderungen.Gehen Sie Ihren nächsten Karriereschritt als.Data Engineer IoT (m/w/d).Aufsetzen und Testen von Tools wie z.B.,1.0
Data Engineer m/w/d,TransnetBW,Stuttgart,"Als Übertragungsnetzbetreiber sichern wir die Stromversorgung für 11 Millionen Menschen – und sorgen dafür, dass die Energiewende gelingt.",1.0
Data Engineer/ ETL Entwickler (m/w/d),Ranger Marketing & Vertriebs GmbH,Düsseldorf,Die Ranger Gruppe ist einer der führenden Outsourcing-Dienstleister für B2C und B2B Sales & Services in Europa.Lerne unser Head Office kennen:,1.0
Data Engineering Lead,Eagle Genomics Ltd,Berlin,"You will integrate new processes for data engineering: onboarding, curating and processing; set up and maintain data infrastructures; and design, build and…",1.0
Data Manager/Analyst – Bioscience (m|f|d),Miltenyi Biotec B.V. & Co. KG,Bergisch Gladbach,"You will be part of interdisciplinary teams and work in close cooperation with other R&D departments, data management teams, bioinformaticians and IT…",1.0
Data Quality and Analysis Expert (m/f/d),TSCNET Services,München,Related data formats is an advantage.Strengthen the data-driven solutions.U Ensure data integrity and consistency by.We are one of Europe’s leading Regional.,1.0
Data Research Team Lead - Life Sciences,,,Report throughput and data quality.M.Sc. in a medical or science-related discipline.Highly organized,1.0
Data Reviewer (m/w/d) Abteilung Bioassay,Eurofins Central Laboratory,München,"Eurofins ist ein internationales Life-Science-Unternehmen, das Kunden aus verschiedenen Branchen ein einzigartiges Angebot an Analytik-Dienstleistungen anbietet…",0.0
Data Science & Management Consultant (m/f/x),Celonis SE,München,"In doing so, you are involved in projects with process data of varying extent and complexity.Thereby, you help make digital business processes more transparent…",1.0
Data Science & Operational Research Senior Specialist (m/w/d),BASF Digital Solutions GmbH,Ludwigshafen am Rhein,"Die Digitalisierung ist ein wichtiges Unterscheidungsmerkmal für BASF, um sich als weltweit führendes Chemieunternehmen für unsere Kunden zu positionieren.",1.0
Data Science Berater / Entwickler (m/w/d),top itservices AG,München,"München | Freiberuflich | Ab 01.01.2021 oder nach Vereinbarung |.Entwicklung, Implementierung und Einsatz von datengetriebenen Lösungen in Zusammenarbeit mit…",1.0
Data Science Consultant,Harnham,Bonn,"Previous experience in data mining is desirable.Educational background in the field of statistics, (business) mathematics, computer science etc.",1.0
Data Science Consultant (m/w/d),INVERTO GmbH,Köln,Wir waren schon immer eine der besten Adressen für strategischen Einkauf und Supply Chain Management.Jetzt bekommen wir durch den Anschluss an die Boston…,1.0
Data Scientist,Trade Republic Bank GmbH,Berlin-Kreuzberg,3+ years of experience in data science or very advanced data analytics projects.Take ownership of all advanced data science tasks at Trade Republic.,1.0
Data Scientist,planblue,Bremen,Create new ways to communicate data-driven insights.Develop state-of-the-art algorithms for processing hyperspectral data.High-end hardware of your choice.,1.0
Data Scientist,Vilua,Greifswald,Erlebe und gestalte den Aufbau unseres neuen Standortes in Greifswald mit und unterstütze unser Team als Werkstudent Data Scientist (m/w/d).,1.0
Data Scientist,Brunel,Münster,Interessieren Sie sich für Algorithmen und Analysen und sind sicher im Umgang mit einer Data-Science-nahen Programmierumgebung?,1.0
Data Scientist,Brunel,Osnabrück,Interessieren Sie sich für Algorithmen und Analysen und sind sicher im Umgang mit einer Data-Science-nahen Programmierumgebung?,1.0
Data Scientist,Eagle Genomics Ltd,Berlin,"You will work jointly with scientists (biologists), bioinformaticians and data/software engineers to make sense of a variety of data sources, and to automate…",1.0
Data Scientist & Developer:in [m/w/d] | Expert:in für mutiges Data Science und Software-Entwicklung,WAYS GmbH,Dortmund,"Du bist Freidenker: in und Multitalent im digitalen Zeitalter und motiviert, die datenanalytische Perspektive des digitalen Wandels einzunehmen.",1.0
Data Scientist (M/W/D),Technology & Strategy,München,Data Scientist (M/W/D).Verstärken Sie unser Team und werden Sie Teil eines jungen erfolgreich wachsenden Unternehmens!,1.0
Data Scientist (M/W/D),Technology & Strategy,München,Data Scientist (M/W/D).Verstärken Sie unser Team und werden Sie Teil eines jungen erfolgreich wachsenden Unternehmens!,1.0
Data Scientist (Marketing Science) (m/w/d),quantilope GmbH,Hamburg,Als Data Scientist (m/w/d) für Marketing Science arbeitest du in einem wachsenden Team mit den neuesten Technologien und Methoden.Was Dich bei uns erwartet?,1.0
Data Scientist (all genders),Merck KGaA,Weiterstadt,"Experience with Structured and Unstructured data.Addressing specific use cases from the CFO Group, you will deliver meaningful analysis and conclusions using…",1.0
Data Scientist (d/m/f),Bayes Esports,Berlin,"As the name suggests, we see ourselves primarily as a data-driven company and data scientists have a lot of impact in our day to day business.",1.0
Data Scientist (f/m/d),European XFEL,Hamburg,Develop and support the data acquisition and data processing systems.Review current requirements for data management with the focus on online and nearonline…,1.0
Data Scientist (m/f/d),FREE NOW,Berlin,"In the FREE NOW data science team we are solving key problems related to urban transportation.You will work with large, interesting data sets including…",1.0
Data Scientist (m/f/d),talpasolutions GmbH,Essen,"Proficiency in Python and typical data science libraries.Full stack data science skills, from data processing to model-building and model deployment.",1.0
Data Scientist (m/f/x),solexas GmbH,Karlsruhe,Exchange your knowledge with other data scientists and developers on the team and possibly take responsibilities outside pure data science when needed.,1.0
Data Scientist (m/f/x),Clark Germany GmbH,Frankfurt am Main,"Reporting to the Head of Business Intelligence and working closely with the Product team to iteratively create data science roadmap, assess use cases for…",1.0
Data Scientist (m/w/d),sparkdata,Berlin,"4 years of data analysis or data science experience required.Know-how of the alternative data industry, including data categories and vendors is a plus.",1.0
Data Scientist (m/w/d),TOOLPORT GmbH,Norderstedt,Als internationales E-Commerce-Unternehmen für professionelle Zeltlösungen verkaufen wir über 140.000 Zelte jährlich.DAS GIBT`S BEI UNS.,1.0
Data Scientist (m/w/d),engineering people GmbH,Ulm,Bereitstellung von Data Science Lösungen und Machine Learning Algorithmen.Arbeit an unterschiedlichen innovativen Use Cases.,1.0
Data Scientist (m/w/d),Campusjäger GmbH,Fulda,Du berätst konzeptionell und technologisch und leitest Data Science und Machine Learning Projekte.Du übernimmst die mathematische Modellierung von Data…,1.0
Data Scientist (m/w/d),Modis GmbH,Stuttgart,"Du fühlst dich im Innovationsfeld rund um Datenanalysen, Cloudlösungen, Machine Learning und Künstliche Intelligenz zu Hause?",1.0
Data Scientist (m/w/d),CONSUS,Freiburg,Du hast ein Händchen für die Lösung kniffliger Probleme und tauchst gerne ab in die faszinierende Welt datengetriebener Algorithmen?Data Scientist (m/w/d).,1.0
Data Scientist (m/w/d),Dürr Somac GmbH,Montabaur,Eigenverantwortliche Mitarbeit bei der Umsetzung von spannenden Data Science Projekten für unsere Großkunden.,1.0
Data Scientist (m/w/d),Oerlikon,Feldkirchen,Experience with established data manipulation and data science languages (SQL and Python / R).Employ advanced analytics and statistical methods to prepare and…,1.0
Data Scientist (m/w/d),AVANTGARDE Experts,Ulm,"Im Bereich Marketing & Kommunikation besetzen wir interessante Stellen in ganz Deutschland – bei attraktiven Kunden, vom Junior Produktmanager bis zum Head of…",1.0
Data Scientist (m/w/d),univativ GmbH,Ulm,Kurzbeschreibung: Data Scientist (m/w/d).Start: Februar 2021 Ende: Dezember 2021 | 40 Stunden pro Woche | Ulm | Automobilbranche | Berufserfahrener | Projekt…,1.0
Data Scientist (m/w/d),skipsearch GmbH,Nürnberg,"Was ist das für eine Stelle?*.Wir sind verantwortlich für den Teamausbau eines führenden Anbieters von Lösungsansätzen in den Bereichen Data Science, Business…",1.0
Data Scientist (m/w/d),bonprix,Hamburg,Wir sind ein international erfolgreicher Modeanbieter und in 30 Ländern weltweit vertreten.Bonprix zählt zu den Top E-Commerce Unternehmen in Europa und ist…,1.0
Data Scientist (m/w/d),SNP Schneider-Neureither & Partner SE,Heidelberg,Wir suchen für unsere Tochterfirma Innoplexia am Standort Heidelberg zum nächstmöglichen Zeitpunkt eine/n.Data Scientist (m/w/d).,1.0
Data Scientist (m/w/d) Data Analytics - Big Data,Ratbacher,Stuttgart,Sie möchten in einem weltweit agierenden Unternehmen Karriere machen und sich beruflich weiterentwickeln?Für unseren renommierten Kunden sind wir auf der Suche…,1.0
Data Scientist (m/w/d) Machine Learning / Customer Data,Daimler TSS GmbH,Stuttgart,"Daimler TSS - IT-EXZELLENZ: GANZHEITLICH, INNOVATIV, NAH.Wir bauen keine Autos, sondern gestalten innovative, ganzheitliche IT-Lösungen für Daimler.",1.0
Data Scientist (m/w/d) – befristet,Klingel Gruppe,Pforzheim,Data Scientist (m/w/d) – befristet.Mit über 2.200 Mitarbeitern an 9 Standorten sowie 15 Marken in 12 Ländern ist die KLiNGEL Gruppe der führende Omni-Channel…,1.0
Data Scientist (m|f|d),Sartorius Corporation,Göttingen,"You assess the effectiveness and accuracy of new data sources and data gathering techniques.Excellent knowledge of machine learning (AI), data mining and…",1.0
Data Scientist (m|f|d),Sartorius Corporation,Göttingen,"You assess the effectiveness and accuracy of new data sources and data gathering techniques.You bring excellent knowledge of machine learning (AI), data mining…",1.0
Data Scientist (m|f|d) Membrane Technologies,Sartorius Stedim Biotech,Göttingen,"You assess the effectiveness and accuracy of new data sources and data gathering techniques.Excellent knowledge of machine learning (AI), data mining and…",1.0
Data Scientist (m|f|d) Membrane Technologies,Sartorius Stedim Biotech,Göttingen,"You assess the effectiveness and accuracy of new data sources and data gathering techniques.You bring excellent knowledge of machine learning (AI), data mining…",1.0
Data Scientist (w/m/d),Westphalia DataLab GmbH,Münster,"Du glaubst an die Kraft von Daten?Du hast Lust, dich immer wieder neuen Herausforderungen zu stellen und zusammen mit einem hochmotivierten Team bisher…",1.0
Data Scientist (w/m/d),Westphalia DataLab GmbH,Münster,"Du glaubst an die Kraft von Daten?Du hast Lust, dich immer wieder neuen Herausforderungen zu stellen und zusammen mit einem hochmotivierten Team bisher…",1.0
Data Scientist (w/m/d) Künstliche Intelligenz / Machine Learning,BTC AG,Oldenburg,"In einem 10-köpfigen Team, bestehend aus Data Scientists und Data Engineers, setzt du deine Machine Learning Kompetenz in verschiedenen Kundenprojekten…",1.0
Data Scientist - 360° (m/w/d),ABOUT YOU GmbH,Hamburg,Der Online-Fashionshop ABOUT YOU gehört zu den am schnellsten wachsenden E-Commerce-Playern Europas und wurde bereits mehrfach ausgezeichnet.,1.0
Data Scientist - Pricing (m/w/d),ABOUT YOU GmbH,Hamburg,Build complex & high scalable machine learning solutions in cooperation with an experienced data science team.Challenges the team will be working on:,1.0
Data Scientist / AI Developer (m/w/d),Allymatch GmbH,Mainz,"Acquiring data from primary or secondary data sources and maintaining databases.Developing and implementing data analyses, data collection systems and other…",1.0
Data Scientist / Data & Analytics MODISBAY,Modis GmbH,Frankfurt am Main,Accountable or a contributor for *CDM* deliverables from protocol creation until release of data for analysis.We are pursuing ambitious goals in a key market.,1.0
Data Scientist / Data Analyst – Controlling national (m/w/d),Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,Bei Lidl arbeiten heißt: die Zukunft des Handels mitgestalten.Dabei das große Ganze ebenso im Blick haben wie die Details.Für dein Team – und für dich selbst.,1.0
Data Scientist / Data Engineer (m/w/d),carValoo GmbH,München,"Sie entwickeln Algorithmen und Architekturkonzepte für die gesamte Daten-Pipeline (Integration von IoT-Sensordaten, Pre- und Postprocessing, Datenbankstrukturen…",1.0
