title,company,location,description
(Senior) Data Scientist / Machine Learning Expert (m/f/d) InsurTech,CHECK24 Versicherungsservice GmbH,München,"Distinguished experience with Python and its data science libraries (pandas, scikit-learn, numpy, tensorflow).Art der Stelle: Vollzeit, Festanstellung."
Professorship (W2) of Finance and Data Science,Johann Wolfgang Goethe-Universität Frankfurt,Frankfurt am Main,Experience in converting unstructured data into structured data as well as the ability to apply modern machine learning methods such as text analytics is most…
Senior/Staff Data Scientist - Experimentation (m/f/d),Trade Republic Bank GmbH,Berlin,Demonstrable previous experience in setting up production level services for data science.A full-stack data scientist with experience in AB testing.
"Data Analyst -Kelley Barracks-Stuttgart, GE- SOCAFRICA",Occam Solutions,Stuttgart,"Build data solutions, tools, and capabilities to enable self-service frameworks for data consumers to monitor and report on data."
Senior Expert Digitalization & Data Analytics (m/f/x),DHL Global Business Services,Bonn,Lead a team of technical experts and data analysts and to deliver digitalization and data analytics projects.Define the strategy and priorities for procurement…
Data Engineer (m/f/d),Liebherr-Hausgeräte Ochsenhausen GmbH,Ulm,"Consolidate, prepare and stage data for data scientists (m/f/d).Automate and optimize data pipelines.Improve data reliability, efficiency and quality."
Deep Learning Engineer (m/w/d),Magnosco GmbH,Berlin,"Software development practices and techniques for computational and data-intensive science problems.Do you see yourself as a motivated, experienced data…"
AI ML Engineer (m/f/d),GSK,Heidelberg,"Experience with biological data (e.g., genomics, transcriptomics, epigenomics, proteomics, etc.), clinical data (e.g., electronic health records, clinical…"
Junior Product Owner Data (m/f/d),Gini,München,"You will develop, improve, and maintain the data labeling process and the data labeling guidelines.You will also do hands-on data annotation of documents for…"
Coordinator (f/m/d) Image Data Services,Deutsches Zentrum für Neurodegenerative Erkrankung...,Bonn,"Promoting commonly developed solutions for tackling image data challenges (e.g. image data provision according to FAIR principles, image data standards, data…"
Abschlussarbeit: Data Science für Anwendungsexperten*,BAM GmbH,Weiden,"Unser Unternehmen stellt sich jeden Tag der Herausforderung ein Teil von morgen zu sein.Die unternehmensweite Identifizierung mit agilen Werten wie Offenheit,…"
2 Data Analysts (Bioinformaticians/Computational Biologists/Systems Biologists) (m/f/d),Universitätsklinikum Freiburg,Freiburg,"Statistical analysis of genome-wide association study data.Interest in genetics, epidemiology, and big data analysis.From February 1st, 2021 or later."
PhD Student Assistant Position: Development of a Metadata Standard for Materials Spectroscopy Data,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Berlin,"The approach paves the way for big-data-driven materials science, in particular to materials spectroscopy data.Contact detail of an academic reference."
Data Analyst (f/m/diverse),Eurowings Digital,Köln,You have advanced proficiency in data querying with SQL as well as in data transformation and statistical computing in Python or R.
Backend Developer/Data Engineer (m/f/d),Relayr,München,"We tackle challenging problems in the fields of data engineering, data science, and machine learning research to develop solutions from early prototypes to…"
Clinical Data Manager,BioClinica,München,Reviewing data and identifying errors/inconsistencies.Performing all data management deliverables for assigned studies.Contributes to team effort by:
Praktikum Qualitätsmanagement mit Schwerpunkt Data Science (w/m/d),DB Netz AG,Hamburg,Vollzeit (Dauer: befristet auf 6 Monate).Die Deutsche Bahn bietet deutschlandweit über 500 Berufe und vielfältige Einstiegsmöglichkeiten für Studenten und…
Senior Data Consultant*. 80-100%.,Namics,München,Als führende Fullservice-Digitalagentur im deutschsprachigen Raum bieten wir unseren Kunden aus sämtlichen Branchen die volle Bandbreite an IT- und Web…
Student Track Programm: Praktikum Data Science (w/m/d),Übergreifend,Berlin,Vollzeit (Dauer: befristet auf 6 Monate).Die Deutsche Bahn bietet deutschlandweit über 500 Berufe und vielfältige Einstiegsmöglichkeiten für Studenten und…
Scientist (f/m/d) BonaRes Repository for Soil Research Data,​​​​Leibniz-Zentrum für Agrarlandschaftsforschung...,Müncheberg,Part of an international data infrastructure.Your data will be deleted after six months. University degree in computer science or another relevant discipline…
Interdisciplinary,US Department of the Army,Wiesbaden,"Utilize technical and professional knowledge of civil/environmental engineering, physical science, geology, or chemistry to implement a variety of environmental…"
THESIS bei HoloSpaces,HoloSpaces GmbH,Saarbrücken,"Die HoloSpaces GmbH ist eine Agentur zur Individualentwicklung für Softwareumgebungen in Virtual-, Augmented- und Mixed Reality, mit fundierter Erfahrung im…"
Data Engineer (f/m/x),Amorelie - Sonoma Internet GmbH,Berlin,You work closely with data analysts/data scientist and IT engineers to implement new ELT pipelines and find new ways to leverage this data.
Student Business Intelligence,The Boston Consulting Group,Düsseldorf,"Your responsibilities will include analyzing communications campaigns and BCG mailing campaigns and event invitations; collaborating on extensive data analyses,…"
Praktikum Data Science – Reinforcement Learning (w/m/d),Deutsche Bahn AG,Berlin,Vollzeit (Dauer: befristet auf 6 Monate).Das Praktikum machst Du bei uns im „House of AI (Artificial Intelligence)“ der Deutschen Bahn.
Internship Sports Engineering Footwear (f/m/d),W. L. Gore & Associates,München,"About Us: Gore is a materials science company focused on improving lives through discovery, product innovation and rewarding careers for our Associates."
